step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50812,0,0,15,0,15,0,9,0,39,0,0,0,0,0.0,0.01,1.7,0.52,1.76,39,32,0,7,0.8205,
1,0,7,19,75,0,0,7,0,20,0,0,0,0,50831,0,0,15,0,15,0,9,0,39,0,0,0,0,,,,,,,,,,,
2,5,8,30,130,5,1,8,1,30,1,0,0,0,50861,0,0,15,1,15,0,9,0,40,0,0,0,0,,,,,,,,,,,
3,11,8,33,149,6,3,8,2,32,3,0,0,0,50894,0,0,15,3,15,1,9,0,43,0,0,0,0,,,,,,,,,,,
4,15,7,29,133,4,1,7,1,32,1,0,0,0,50923,0,0,15,4,15,1,9,0,44,0,0,0,0,,,,,,,,,,,
5,19,8,25,105,4,1,8,1,30,1,0,0,0,50948,0,0,15,5,15,1,9,0,45,0,0,0,0,0.0,0.01,1.74,0.52,1.78,45,38,0,7,0.8444,
6,32,10,34,156,13,3,10,3,39,3,0,0,0,50982,0,0,15,7,15,2,9,0,48,0,0,0,0,,,,,,,,,,,
7,52,9,39,182,20,4,9,4,40,4,0,0,0,51021,0,0,15,8,15,5,9,0,52,0,0,0,0,,,,,,,,,,,
8,62,8,27,114,10,3,8,3,29,5,0,0,0,51048,0,0,15,8,15,7,9,1,55,0,0,0,0,,,,,,,,,,,
9,71,8,27,124,9,1,8,2,31,3,0,0,0,51075,0,0,15,9,15,7,9,1,56,0,0,0,0,,,,,,,,,,,
10,75,11,35,159,4,1,11,1,44,1,0,0,0,51110,0,0,15,9,15,8,9,1,57,0,0,0,0,0.0,0.01,1.76,0.5,1.88,57,50,1,6,0.8772,0.9033
