step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.12,0.1889,4.9,0.3043,23,0.52,0.6,1.82,40,32,0,8,0.8,
1,3,6,14,50,3,1,6,1,17,1,25,2,3,50828,0,4,15,1,15,0,10,0,41,2,2,0,0,,,,,,,,,,,,,,
2,3,8,28,120,0,0,8,0,30,0,25,0,0,50856,0,4,15,1,15,0,10,0,41,2,2,0,0,,,,,,,,,,,,,,
3,11,8,32,147,8,2,8,2,33,2,25,2,14,50873,0,19,15,2,15,1,10,0,43,4,15,0,0,,,,,,,,,,,,,,
4,21,6,22,98,10,3,6,3,24,3,25,3,6,50887,0,27,15,4,15,2,10,0,46,8,19,0,0,,,,,,,,,,,,,,
5,25,8,26,108,4,1,8,1,29,1,25,1,8,50904,0,36,15,5,15,2,10,0,47,11,25,0,0,0.12,0.1789,4.98,0.2609,23,0.52,0.6,1.82,47,31,0,16,0.6596,
6,25,9,32,142,0,0,9,0,33,0,25,0,0,50936,0,36,15,5,15,2,10,0,47,11,25,0,0,,,,,,,,,,,,,,
7,36,9,42,198,11,2,9,2,41,2,25,0,0,50978,0,36,15,6,15,2,10,1,49,11,25,0,0,,,,,,,,,,,,,,
8,42,8,30,125,6,0,8,1,28,1,25,0,0,51008,0,36,15,6,15,2,10,1,49,11,25,0,0,,,,,,,,,,,,,,
9,42,8,27,125,0,0,8,0,31,0,25,0,0,51035,0,36,15,6,15,2,10,1,49,11,25,0,0,,,,,,,,,,,,,,
10,47,11,35,156,5,1,11,1,43,1,25,0,0,51070,0,36,15,6,15,3,10,1,50,11,25,0,0,0.12,0.1789,4.98,0.2609,23,0.52,0.6,1.84,50,32,0,18,0.64,0.8853
