step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50788,0,0,15,0,15,0,10,0,40,0,0,0,0,0.16,0.1848,4.74,0.6,1.82,40,33,0,7,0.825,
1,0,9,35,153,0,0,9,0,35,0,25,2,4,50818,0,5,15,0,15,0,10,0,40,0,5,0,0,,,,,,,,,,,
2,0,10,37,165,0,0,10,0,39,0,25,3,19,50834,0,26,15,0,15,0,10,0,40,0,26,0,0,,,,,,,,,,,
3,0,8,31,141,0,0,8,0,32,0,25,1,0,50864,0,27,15,0,15,0,10,0,40,0,27,0,0,,,,,,,,,,,
4,0,8,27,119,0,0,8,0,29,0,25,4,11,50877,0,41,15,0,15,0,10,0,40,0,41,0,0,,,,,,,,,,,
5,12,10,43,199,12,2,10,3,44,3,25,3,6,50913,0,48,15,2,15,0,10,0,42,0,48,0,0,0.12,0.1448,4.76,0.58,1.88,42,35,0,7,0.8333,
6,22,8,34,168,10,0,8,2,39,3,25,2,5,50941,0,54,15,2,15,0,10,0,42,1,53,0,0,,,,,,,,,,,
7,28,7,28,128,6,1,7,1,29,1,25,0,0,50969,0,54,15,2,15,0,10,1,43,1,53,0,0,,,,,,,,,,,
8,28,8,30,136,0,0,8,0,32,0,25,2,2,50996,0,57,15,2,15,0,10,1,43,1,56,0,0,,,,,,,,,,,
9,35,8,28,127,7,2,8,2,34,2,25,4,7,51015,0,66,15,3,15,1,10,1,45,2,64,0,0,,,,,,,,,,,
10,44,8,26,105,9,1,8,2,28,2,25,0,0,51041,0,66,15,3,15,2,10,1,46,2,64,0,0,0.12,0.1448,4.84,0.58,1.92,46,35,0,11,0.7609,0.873
