step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,8,0,38,0,0,0,0,
1,3,9,32,136,3,1,9,1,32,1,0,0,0,50850,0,0,15,0,15,1,8,0,39,0,0,0,0,
2,8,9,30,128,5,1,9,1,31,1,125,4,8,50870,0,10,15,1,15,1,8,0,40,4,6,0,0,
3,13,9,36,156,5,0,9,1,35,2,0,0,0,50906,0,10,15,1,15,1,8,0,40,4,6,0,0,
4,13,8,37,179,0,0,8,0,37,0,145,2,5,50936,0,17,15,1,15,1,8,0,40,6,11,0,0,
5,26,10,39,177,13,3,10,3,40,3,0,0,0,50975,0,17,15,1,15,4,8,0,43,6,11,0,0,
6,38,9,30,129,12,7,9,3,34,3,139,16,25,50974,0,48,15,6,15,6,8,0,50,22,26,0,0,
7,46,8,39,195,8,1,8,2,40,2,0,0,0,51013,0,48,15,7,15,6,8,0,51,22,26,0,0,
8,46,10,40,188,0,0,10,0,42,0,151,3,8,51043,0,58,15,7,15,6,8,0,51,25,33,0,0,
9,51,8,24,106,5,1,8,1,29,1,0,0,0,51067,0,58,15,7,15,7,8,0,52,25,33,0,0,
10,51,6,24,108,0,0,6,0,22,0,98,2,5,51085,0,64,15,7,15,7,8,0,52,27,37,0,0,0.9158
