node_id,seeded,root_type,question,corrupted_value,original_value,answer,verdict,n_facts
0a78703e-f0ed-41aa-bf65-76a6730d0386,1,qualifier_loss,What is the 'born on' of Chiwetel Ejiofor?,1977,10 July 1977,1977,contaminated,7
0f2b9807-9226-4c5b-8230-c936ea7ce69a,1,entity_disambiguation,What is the 'area' of Mwabvi Wildlife Reserve?,Believe,135km²,Believe,contaminated,8
0ffc93ac-0d77-4930-b750-c2cc622e0f21,1,entity_disambiguation,What is the 'distance from' of Black Crescent Mountain?,Crawley,4.7 mi southwest of Berlin,"4.4 mi north of Randolph, Crawley",contaminated,5
15b247cb-3df8-4a44-b31b-1a6b297a8376,1,qualifier_loss,What is the 'born in' of Sergei Aleksandrovich Tokarev?,1899,1899-12-29,1899,contaminated,8
1ab59946-437a-4509-9fa6-b27e75d832f7,1,entity_disambiguation,What is the 'also known as' of Wild Mountain Thyme?,abstract hip hop,Purple Heather,"abstract hip hop, Will Ye Go, Lassie",contaminated,6
1b4b7146-cbaa-4388-8916-66ac984f0d3d,1,qualifier_loss,What is the 'born in' of Bing Crosby?,May 3,"May 3, 1903",May 3,contaminated,8
23a78044-a5a0-44d9-a6eb-c51a732740ed,1,qualifier_loss,What is the 'wrote' of Hans Zimmer?,12 Years a Slave,12 Years a Slave (score),12 Years a Slave,contaminated,3
27e627ce-2982-4c20-9449-5e80c58f5eb7,1,qualifier_loss,What is the 'born on' of Benedict Arnold?,January 14,"January 14, 1741",January 14,contaminated,8
29aef01c-1f10-4c68-8aae-bb771aa76018,1,entity_disambiguation,What is the 'born in' of Salma Hayek?,1899-12-29,Mexico,United States,other,8
2d25dcc5-f051-4240-84e9-67f5efb1fed7,1,entity_disambiguation,What is the 'headquartered in' of Stone Brewing Co.?,"Atwater, California","Escondido, California, USA","Atwater, California",contaminated,4
2e07b97d-821d-4b47-9652-70d6de44d3f3,1,qualifier_loss,What is the 'located in' of New York State Route 9R?,northeastern Albany County,"northeastern Albany County, New York",northeastern Albany County,contaminated,8
