step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.14,0.1989,4.9,0.2917,24,0.5,0.6,1.84,40,32,1,7,0.8,
1,1,9,35,159,1,1,9,1,35,1,25,0,0,50853,0,0,15,1,15,0,10,0,41,0,0,0,0,,,,,,,,,,,,,,
2,15,10,35,156,14,3,10,3,39,3,25,2,5,50882,0,6,15,4,15,0,10,0,44,2,4,0,0,,,,,,,,,,,,,,
3,28,8,34,162,13,2,8,3,35,3,25,2,14,50900,0,22,15,5,15,1,10,0,46,6,16,0,0,,,,,,,,,,,,,,
4,33,8,29,131,5,1,8,1,30,1,25,2,5,50923,0,28,15,5,15,2,10,0,47,8,20,0,0,,,,,,,,,,,,,,
5,44,10,44,200,11,3,10,3,44,3,25,0,0,50967,0,28,15,6,15,4,10,0,50,8,20,0,0,0.12,0.1789,4.86,0.2609,23,0.52,0.58,1.9,50,32,2,16,0.64,
6,49,8,36,178,5,0,8,1,39,2,25,1,5,50997,0,34,15,6,15,4,10,0,50,9,25,0,0,,,,,,,,,,,,,,
7,55,7,29,133,6,1,7,1,29,1,25,0,0,51026,0,34,15,6,15,4,10,1,51,9,25,0,0,,,,,,,,,,,,,,
8,62,7,23,100,7,2,7,2,25,3,25,3,3,51046,0,37,15,7,15,5,10,1,53,12,25,0,0,,,,,,,,,,,,,,
9,76,8,34,159,14,3,8,3,35,3,25,2,5,51074,0,43,15,8,15,7,10,1,56,14,29,0,0,,,,,,,,,,,,,,
10,80,8,28,117,4,1,8,1,29,1,25,2,8,51093,0,52,15,8,15,8,10,1,57,17,35,0,0,0.12,0.1789,4.88,0.2609,23,0.52,0.58,1.94,57,28,2,27,0.4912,0.9045
