step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,8,0,38,0,0,0,0,
1,3,9,32,136,3,1,9,1,32,1,25,0,0,50850,0,0,15,0,15,1,8,0,39,0,0,0,0,
2,8,9,30,128,5,1,9,1,31,1,25,2,5,50874,0,6,15,1,15,1,8,0,40,1,5,0,0,
3,13,9,36,156,5,0,9,1,35,2,25,3,13,50902,0,14,15,1,15,1,8,0,40,1,13,0,0,
4,13,8,37,179,0,0,8,0,37,0,25,0,0,50939,0,14,15,1,15,1,8,0,40,1,13,0,0,
5,29,10,39,183,16,4,10,4,43,5,25,0,0,50978,0,14,15,1,15,5,8,0,44,1,13,0,0,
6,44,9,31,136,15,8,9,4,35,5,25,0,0,51009,0,14,15,6,15,8,8,0,52,1,13,0,0,
7,51,8,33,165,7,1,8,2,40,3,25,0,0,51042,0,14,15,7,15,8,8,0,53,1,13,0,0,
8,56,10,37,172,5,1,10,1,42,1,25,2,51,51059,0,34,15,7,15,9,8,0,54,1,33,0,0,
9,59,8,21,95,3,0,8,1,30,1,25,1,15,51064,0,50,15,7,15,9,8,0,54,1,49,0,0,
10,64,6,23,103,5,1,6,1,22,1,25,0,0,51087,0,50,15,7,15,10,8,0,55,1,49,0,0,0.9083
