step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.12,0.1889,4.9,0.3043,23,0.52,0.6,1.82,40,32,0,8,0.8,
1,3,6,14,50,3,1,6,1,17,1,25,1,0,50831,0,1,15,1,15,0,10,0,41,1,0,0,0,,,,,,,,,,,,,,
2,3,8,28,120,0,0,8,0,30,0,25,0,0,50859,0,1,15,1,15,0,10,0,41,1,0,0,0,,,,,,,,,,,,,,
3,11,8,32,147,8,2,8,2,33,2,25,1,0,50890,0,2,15,2,15,1,10,0,43,2,0,0,0,,,,,,,,,,,,,,
4,25,6,26,122,14,3,6,3,28,3,25,1,36,50899,0,19,15,4,15,2,10,0,46,4,15,0,0,,,,,,,,,,,,,,
5,29,8,26,108,4,1,8,1,29,1,25,0,0,50925,0,19,15,5,15,2,10,0,47,4,15,0,0,0.1,0.1689,4.98,0.2727,22,0.54,0.6,1.82,47,35,0,12,0.7447,
6,29,9,32,142,0,0,9,0,33,0,25,0,0,50957,0,19,15,5,15,2,10,0,47,4,15,0,0,,,,,,,,,,,,,,
7,40,9,42,198,11,2,9,2,41,2,25,0,0,50999,0,19,15,6,15,2,10,1,49,4,15,0,0,,,,,,,,,,,,,,
8,46,8,30,125,6,0,8,1,28,1,25,0,0,51029,0,19,15,6,15,2,10,1,49,4,15,0,0,,,,,,,,,,,,,,
9,46,8,27,125,0,0,8,0,31,0,25,0,0,51056,0,19,15,6,15,2,10,1,49,4,15,0,0,,,,,,,,,,,,,,
10,55,11,34,151,9,5,11,2,43,2,25,0,0,51090,0,19,15,10,15,3,10,1,54,4,15,0,0,0.1,0.1689,4.98,0.2727,22,0.54,0.6,1.84,54,38,0,16,0.7037,0.8906
