step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.14,0.1989,4.9,0.2917,24,0.5,0.6,1.84,40,32,1,7,0.8,
1,1,9,35,159,1,1,9,1,35,1,25,0,0,50853,0,0,15,1,15,0,10,0,41,0,0,0,0,,,,,,,,,,,,,,
2,15,10,35,156,14,3,10,3,39,3,25,0,0,50888,0,0,15,4,15,0,10,0,44,0,0,0,0,,,,,,,,,,,,,,
3,28,8,34,162,13,2,8,3,35,3,25,0,0,50922,0,0,15,5,15,1,10,0,46,0,0,0,0,,,,,,,,,,,,,,
4,33,8,29,131,5,1,8,1,30,1,25,0,0,50951,0,0,15,5,15,2,10,0,47,0,0,0,0,,,,,,,,,,,,,,
5,48,10,43,195,15,3,10,4,44,4,25,0,0,50994,0,0,15,6,15,4,10,0,50,0,0,0,0,0.14,0.1989,4.9,0.2917,24,0.5,0.58,1.9,50,36,2,12,0.72,
6,57,8,35,173,9,0,8,2,39,3,25,0,0,51029,0,0,15,6,15,4,10,0,50,0,0,0,0,,,,,,,,,,,,,,
7,67,7,28,128,10,1,7,2,29,2,25,0,0,51057,0,0,15,6,15,4,10,1,51,0,0,0,0,,,,,,,,,,,,,,
8,74,7,23,100,7,2,7,2,25,3,25,2,3,51077,0,3,15,7,15,5,10,1,53,3,0,0,0,,,,,,,,,,,,,,
9,93,8,35,168,19,4,8,4,36,4,25,1,5,51106,0,9,15,9,15,7,10,1,57,5,4,0,0,,,,,,,,,,,,,,
10,97,8,28,117,4,1,8,1,29,1,25,1,0,51133,0,10,15,9,15,8,10,1,58,6,4,0,0,0.14,0.1989,4.92,0.2917,24,0.5,0.58,1.94,58,33,3,22,0.569,0.8998
