step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,
1,11,9,38,170,11,3,9,3,39,3,0,0,0,50856,0,0,15,2,15,1,10,0,43,0,0,0,0,
2,16,9,28,116,5,1,9,1,28,1,0,0,0,50884,0,0,15,3,15,1,10,0,44,0,0,0,0,
3,21,8,32,150,5,1,8,1,34,1,0,0,0,50916,0,0,15,4,15,1,10,0,45,0,0,0,0,
4,30,9,41,191,9,2,9,2,38,3,0,0,0,50957,0,0,15,5,15,2,10,0,47,0,0,0,0,
5,38,12,44,198,8,1,12,2,48,3,0,0,0,51001,0,0,15,6,15,2,10,0,48,0,0,0,0,
6,38,8,32,148,0,0,8,0,36,0,0,0,0,51033,0,0,15,6,15,2,10,0,48,0,0,0,0,
7,40,11,35,141,2,1,11,1,39,1,0,0,0,51068,0,0,15,7,15,2,10,0,49,0,0,0,0,
8,52,10,32,140,12,3,10,3,37,5,0,0,0,51100,0,0,15,9,15,3,10,0,52,0,0,0,0,
9,65,7,30,146,13,2,7,3,34,3,0,0,0,51130,0,0,15,11,15,3,10,0,54,0,0,0,0,
10,65,6,22,102,0,0,6,0,25,0,548,23,117,51073,0,79,15,11,15,3,10,0,54,23,56,0,0,0.91
