step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,
1,1,9,35,159,1,1,9,1,35,1,0,0,0,50853,0,0,15,1,15,0,10,0,41,0,0,0,0,
2,15,10,35,156,14,3,10,3,39,3,135,8,15,50869,0,19,15,4,15,0,10,0,44,8,11,0,0,
3,23,8,33,153,8,1,8,2,34,2,0,0,0,50902,0,19,15,4,15,1,10,0,45,8,11,0,0,
4,28,8,29,131,5,1,8,1,30,1,121,5,13,50915,0,35,15,4,15,2,10,0,46,13,22,0,0,
5,35,10,43,193,7,2,10,2,43,2,0,0,0,50958,0,35,15,5,15,3,10,0,48,13,22,0,0,
6,40,8,36,178,5,0,8,1,39,2,156,6,12,50978,0,51,15,5,15,3,10,0,48,19,32,0,0,
7,46,7,29,133,6,1,7,1,29,1,0,0,0,51007,0,51,15,5,15,3,10,1,49,19,32,0,0,
8,52,6,22,98,6,1,6,1,23,1,103,4,24,51009,0,71,15,5,15,4,10,1,50,23,48,0,0,
9,62,8,33,158,10,2,8,2,36,2,0,0,0,51042,0,71,15,6,15,5,10,1,52,23,48,0,0,
10,62,8,29,122,0,0,8,0,29,0,122,4,10,51059,0,83,15,6,15,5,10,1,52,27,56,0,0,0.9166
