step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50792,0,0,15,0,15,0,10,0,40,0,0,0,0,0.02,0.0414,1.24,0.58,1.44,40,32,0,8,0.8,
1,9,9,31,135,9,5,9,2,33,2,0,0,0,50823,0,0,15,4,15,1,10,0,45,0,0,0,0,,,,,,,,,,,
2,17,9,29,121,8,1,9,2,31,2,0,0,0,50852,0,0,15,5,15,1,10,0,46,0,0,0,0,,,,,,,,,,,
3,29,9,35,155,12,5,9,3,36,5,0,0,0,50887,0,0,15,10,15,1,10,0,51,0,0,0,0,,,,,,,,,,,
4,39,8,38,184,10,2,8,2,37,2,0,0,0,50925,0,0,15,11,15,2,10,0,53,0,0,0,0,,,,,,,,,,,
5,43,10,35,163,4,1,10,1,42,1,0,0,0,50960,0,0,15,11,15,3,10,0,54,0,0,0,0,0.02,0.0414,1.24,0.58,1.44,54,34,1,19,0.6296,
6,51,10,35,160,8,2,10,2,41,2,0,0,0,50995,0,0,15,11,15,5,10,0,56,0,0,0,0,,,,,,,,,,,
7,56,8,39,195,5,0,8,1,40,2,0,0,0,51034,0,0,15,11,15,5,10,0,56,0,0,0,0,,,,,,,,,,,
8,61,10,39,181,5,1,10,1,42,1,0,0,0,51073,0,0,15,11,15,5,10,1,57,0,0,0,0,,,,,,,,,,,
9,68,8,18,80,7,3,8,2,30,4,0,0,0,51091,0,0,15,12,15,7,10,1,60,0,0,0,0,,,,,,,,,,,
10,68,6,18,78,0,0,6,0,22,0,0,0,0,51109,0,0,15,12,15,7,10,1,60,0,0,0,0,0.02,0.0414,1.24,0.58,1.44,60,37,1,22,0.6167,0.9047
