step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.14,0.1989,4.9,0.2917,24,0.5,0.6,1.84,40,32,1,7,0.8,
1,1,9,35,159,1,1,9,1,35,1,25,4,10,50841,0,12,15,1,15,0,10,0,41,0,12,0,0,,,,,,,,,,,,,,
2,15,10,35,156,14,3,10,3,39,3,25,3,20,50854,0,34,15,4,15,0,10,0,44,4,30,0,0,,,,,,,,,,,,,,
3,28,8,31,143,13,2,8,3,31,3,25,3,14,50868,0,51,15,5,15,1,10,0,46,8,43,0,0,,,,,,,,,,,,,,
4,33,8,26,113,5,1,8,1,27,1,25,3,5,50887,0,58,15,5,15,2,10,0,47,10,48,0,0,,,,,,,,,,,,,,
5,44,10,44,200,11,3,10,3,44,3,25,2,5,50924,0,65,15,6,15,4,10,0,50,10,55,0,0,0.1,0.1429,4.84,0.2857,21,0.56,0.58,1.88,50,31,2,17,0.62,
6,49,8,36,178,5,0,8,1,39,2,25,2,11,50947,0,78,15,6,15,4,10,0,50,11,67,0,0,,,,,,,,,,,,,,
7,60,7,29,133,11,2,7,2,29,2,25,1,5,50970,0,84,15,7,15,4,10,1,52,13,71,0,0,,,,,,,,,,,,,,
8,67,7,23,100,7,2,7,2,25,3,25,3,3,50990,0,87,15,8,15,5,10,1,54,16,71,0,0,,,,,,,,,,,,,,
9,81,8,34,159,14,3,8,3,35,3,25,2,5,51018,0,93,15,9,15,7,10,1,57,18,75,0,0,,,,,,,,,,,,,,
10,85,8,25,100,4,1,8,1,27,1,25,2,8,51034,0,102,15,9,15,8,10,1,58,21,81,0,0,0.1,0.1429,4.86,0.2857,21,0.56,0.58,1.92,58,26,2,30,0.4483,0.9077
