step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.12,0.1889,4.9,0.3043,23,0.52,0.6,1.82,40,32,0,8,0.8,
1,3,6,14,50,3,1,6,1,17,1,25,14,15,50806,0,26,15,1,15,0,10,0,41,2,24,0,0,,,,,,,,,,,,,,
2,3,8,28,120,0,0,8,0,30,0,25,12,14,50811,0,49,15,1,15,0,10,0,41,2,47,0,0,,,,,,,,,,,,,,
3,11,8,32,147,8,2,8,2,33,2,25,13,30,50805,0,87,15,2,15,1,10,0,43,4,83,0,0,,,,,,,,,,,,,,
4,21,6,22,98,10,3,6,3,24,3,25,13,20,50799,0,115,15,4,15,2,10,0,46,8,107,0,0,,,,,,,,,,,,,,
5,29,7,23,91,8,2,7,2,24,2,25,11,33,50787,0,150,15,6,15,2,10,0,48,12,138,0,0,0.1,0.1589,4.96,0.2381,21,0.56,0.6,1.82,48,32,0,16,0.6667,
6,29,9,31,133,0,0,9,0,32,0,25,12,19,50792,0,176,15,6,15,2,10,0,48,12,164,0,0,,,,,,,,,,,,,,
7,40,9,42,198,11,2,9,2,41,2,25,12,10,50820,0,190,15,7,15,2,10,1,50,12,178,0,0,,,,,,,,,,,,,,
8,46,7,27,111,6,0,7,1,24,1,25,15,25,50823,0,214,15,7,15,2,10,1,50,12,202,0,0,,,,,,,,,,,,,,
9,51,8,27,125,5,1,8,1,31,1,25,10,12,50831,0,233,15,7,15,3,10,1,51,12,221,0,0,,,,,,,,,,,,,,
10,56,9,29,126,5,1,9,1,32,1,25,11,22,50833,0,260,15,7,15,4,10,1,52,12,248,0,0,0.1,0.1722,4.84,0.2857,21,0.56,0.6,1.84,52,36,0,16,0.6923,0.8866
