step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,
1,3,6,14,50,3,1,6,1,17,1,25,0,0,50832,0,0,15,1,15,0,10,0,41,0,0,0,0,
2,3,8,27,115,0,0,8,0,30,0,25,1,0,50858,0,1,15,1,15,0,10,0,41,0,1,0,0,
3,11,8,32,147,8,2,8,2,33,2,25,2,3,50886,0,5,15,2,15,1,10,0,43,1,4,0,0,
4,25,6,26,122,14,3,6,3,28,3,25,3,15,50895,0,22,15,4,15,2,10,0,46,2,20,0,0,
5,29,8,24,100,4,1,8,1,30,1,25,0,0,50919,0,22,15,5,15,2,10,0,47,2,20,0,0,
6,33,10,34,152,4,1,10,1,38,1,23,2,10,50942,0,33,15,6,15,2,10,0,48,2,31,0,0,
7,44,9,42,198,11,2,9,2,41,2,25,2,34,50964,0,53,15,7,15,2,10,1,50,2,51,0,0,
8,50,8,30,125,6,0,8,1,28,1,25,0,0,50994,0,53,15,7,15,2,10,1,50,2,51,0,0,
9,50,8,24,110,0,0,8,0,31,0,25,0,0,51018,0,53,15,7,15,2,10,1,50,2,51,0,0,
10,59,11,33,150,9,5,11,2,44,3,25,2,5,51045,0,59,15,11,15,3,10,1,55,2,57,0,0,0.8735
