step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.14,0.1989,4.9,0.2917,24,0.5,0.6,1.84,40,32,1,7,0.8,
1,1,9,35,159,1,1,9,1,35,1,25,13,15,50830,0,23,15,1,15,0,10,0,41,0,23,0,0,,,,,,,,,,,,,,
2,15,10,35,156,14,3,10,3,39,3,25,13,26,50832,0,56,15,4,15,0,10,0,44,4,52,0,0,,,,,,,,,,,,,,
3,28,8,31,143,13,2,8,3,31,3,25,13,15,50837,0,82,15,5,15,1,10,0,46,8,74,0,0,,,,,,,,,,,,,,
4,33,8,26,113,5,1,8,1,27,1,25,13,11,50844,0,101,15,5,15,2,10,0,47,10,91,0,0,,,,,,,,,,,,,,
5,43,10,43,195,10,3,10,3,43,3,25,10,13,50869,0,119,15,6,15,4,10,0,50,10,109,0,0,0.12,0.1629,4.76,0.2857,21,0.56,0.58,1.76,50,31,2,17,0.62,
6,52,8,35,173,9,1,8,2,39,3,25,12,50,50869,0,154,15,7,15,4,10,0,51,11,143,0,0,,,,,,,,,,,,,,
7,67,7,26,116,15,3,7,3,27,3,25,13,9,50878,0,171,15,9,15,4,10,1,54,13,158,0,0,,,,,,,,,,,,,,
8,74,7,23,100,7,2,7,2,25,3,25,15,33,50874,0,198,15,10,15,5,10,1,56,16,182,0,0,,,,,,,,,,,,,,
9,88,8,31,140,14,3,8,3,31,3,25,11,16,50883,0,220,15,11,15,7,10,1,59,19,201,0,0,,,,,,,,,,,,,,
10,92,8,25,100,4,1,8,1,27,1,25,12,17,50885,0,243,15,11,15,8,10,1,60,22,221,0,0,0.1,0.1314,4.5,0.3158,19,0.62,0.58,1.8,60,30,2,28,0.5,0.9093
