step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,
1,1,9,35,159,1,1,9,1,35,1,25,1,5,50847,0,6,15,1,15,0,10,0,41,0,6,0,0,
2,15,10,35,156,14,3,10,3,39,3,25,2,4,50877,0,11,15,4,15,0,10,0,44,0,11,0,0,
3,28,8,34,162,13,2,8,3,35,3,25,3,44,50880,0,42,15,5,15,1,10,0,46,2,40,0,0,
4,33,8,29,131,5,1,8,1,30,1,25,0,0,50909,0,42,15,5,15,2,10,0,47,2,40,0,0,
5,43,10,42,194,10,3,10,3,45,3,25,1,5,50945,0,48,15,6,15,4,10,0,50,2,46,0,0,
6,48,8,34,168,5,0,8,1,39,2,25,2,5,50972,0,55,15,6,15,4,10,0,50,2,53,0,0,
7,54,7,27,123,6,1,7,1,29,1,25,0,0,50999,0,55,15,6,15,4,10,1,51,2,53,0,0,
8,61,7,23,100,7,2,7,2,25,3,25,3,13,51008,0,69,15,7,15,5,10,1,53,5,64,0,0,
9,79,8,34,163,18,4,8,4,36,5,25,1,0,51041,0,70,15,9,15,7,10,1,57,5,65,0,0,
10,83,8,28,117,4,1,8,1,29,1,25,0,0,51069,0,70,15,9,15,8,10,1,58,5,65,0,0,0.8953
