step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,8,0,38,0,0,0,0,0.1,0.1589,4.9,0.2381,21,0.56,0.6,1.82,38,32,0,6,0.8421,
1,3,9,32,136,3,1,9,1,32,1,25,4,5,50842,0,8,15,0,15,1,8,0,39,0,8,0,0,,,,,,,,,,,,,,
2,8,9,30,128,5,1,9,1,31,1,25,3,5,50865,0,15,15,1,15,1,8,0,40,2,13,0,0,,,,,,,,,,,,,,
3,13,9,36,156,5,0,9,1,35,2,25,1,4,50896,0,20,15,1,15,1,8,0,40,2,18,0,0,,,,,,,,,,,,,,
4,13,8,37,179,0,0,8,0,37,0,25,1,20,50916,0,37,15,1,15,1,8,0,40,3,34,0,0,,,,,,,,,,,,,,
5,29,10,40,188,16,4,10,4,43,5,25,3,7,50947,0,46,15,1,15,5,8,0,44,5,41,0,0,0.1,0.1589,4.92,0.2381,21,0.56,0.6,1.82,44,30,0,14,0.6818,
6,44,9,31,136,15,8,9,4,35,5,25,9,9,50966,0,58,15,6,15,8,8,0,52,13,45,0,0,,,,,,,,,,,,,,
7,51,8,37,181,7,1,8,2,39,3,25,2,10,50991,0,70,15,7,15,8,8,0,53,15,55,0,0,,,,,,,,,,,,,,
8,56,10,39,179,5,1,10,1,41,1,25,0,0,51030,0,70,15,7,15,9,8,0,54,15,55,0,0,,,,,,,,,,,,,,
9,61,8,24,106,5,1,8,1,29,1,25,0,0,51054,0,70,15,7,15,10,8,0,55,15,55,0,0,,,,,,,,,,,,,,
10,66,6,24,108,5,1,6,1,22,1,25,0,0,51078,0,70,15,7,15,11,8,0,56,15,55,0,0,0.1,0.1589,4.92,0.2381,21,0.56,0.58,1.9,56,36,0,20,0.6429,0.913
