step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,0.12,0.1789,4.92,0.2727,22,0.54,0.6,1.86,40,34,0,6,0.85,
1,11,9,38,170,11,3,9,3,39,3,25,8,16,50835,0,21,15,2,15,1,10,0,43,4,17,0,0,,,,,,,,,,,,,,
2,16,9,26,100,5,1,9,1,26,1,25,5,7,50849,0,33,15,3,15,1,10,0,44,4,29,0,0,,,,,,,,,,,,,,
3,21,8,32,150,5,1,8,1,34,1,25,2,10,50869,0,45,15,4,15,1,10,0,45,7,38,0,0,,,,,,,,,,,,,,
4,30,9,41,191,9,2,9,2,38,3,25,6,30,50896,0,59,15,5,15,2,10,0,47,10,49,0,0,,,,,,,,,,,,,,
5,37,12,43,193,7,2,12,2,48,3,25,3,26,50926,0,72,15,7,15,2,10,0,49,10,62,0,0,0.1,0.1474,5.0,0.25,20,0.58,0.6,1.86,49,34,0,15,0.6939,
6,37,8,32,148,0,0,8,0,36,0,25,5,10,50945,0,85,15,7,15,2,10,0,49,10,75,0,0,,,,,,,,,,,,,,
7,39,11,35,141,2,1,11,1,39,1,25,4,17,50967,0,98,15,8,15,2,10,0,50,10,88,0,0,,,,,,,,,,,,,,
8,45,9,26,109,6,1,9,2,31,3,25,4,21,50973,0,118,15,9,15,2,10,0,51,12,106,0,0,,,,,,,,,,,,,,
9,54,7,29,131,9,1,7,2,30,2,25,4,17,50982,0,138,15,10,15,2,10,0,52,16,122,0,0,,,,,,,,,,,,,,
10,54,6,22,102,0,0,6,0,25,0,25,2,30,50990,0,152,15,10,15,2,10,0,52,16,136,0,0,0.12,0.156,4.88,0.3,20,0.58,0.6,1.84,52,31,0,21,0.5962,0.9024
