step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50788,0,0,15,0,15,0,10,0,40,0,0,0,0,0.18,0.2048,4.78,0.6,1.82,40,34,0,6,0.85,
1,0,7,16,54,0,0,7,0,18,0,25,2,3,50799,0,5,15,0,15,0,10,0,40,0,5,0,0,,,,,,,,,,,
2,0,8,28,114,0,0,8,0,27,0,25,1,0,50826,0,6,15,0,15,0,10,0,40,0,6,0,0,,,,,,,,,,,
3,4,9,36,162,4,1,9,1,34,1,25,5,22,50837,0,31,15,1,15,0,10,0,41,1,30,0,0,,,,,,,,,,,
4,4,7,28,118,0,0,7,0,28,0,24,2,10,50854,0,42,15,1,15,0,10,0,41,1,41,0,0,,,,,,,,,,,
5,6,8,26,102,2,1,8,1,29,1,25,1,0,50879,0,43,15,2,15,0,10,0,42,1,42,0,0,0.18,0.2048,4.86,0.6,1.86,42,36,0,6,0.8571,
6,12,10,32,133,6,6,10,2,35,2,24,1,0,50910,0,44,15,8,15,0,10,0,48,1,43,0,0,,,,,,,,,,,
7,22,9,37,173,10,1,9,2,41,2,25,0,0,50947,0,44,15,9,15,0,10,0,49,1,43,0,0,,,,,,,,,,,
8,32,9,29,120,10,0,9,2,29,2,25,0,0,50976,0,44,15,9,15,0,10,0,49,1,43,0,0,,,,,,,,,,,
9,37,8,25,115,5,1,8,1,31,1,25,1,5,50995,0,50,15,9,15,1,10,0,50,1,49,0,0,,,,,,,,,,,
10,37,11,35,162,0,0,11,0,45,0,25,0,0,51030,0,50,15,9,15,1,10,0,50,1,49,0,0,0.18,0.2208,4.86,0.6,1.88,50,39,0,11,0.78,0.8639
