step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,hotpot_em,hotpot_f1,hotpot_avg_facts,hotpot_usr,hotpot_usr_n,hotpot_abstain,fever_accuracy,fever_avg_facts,probe_n,probe_contaminated,probe_original,probe_other,probe_contam_rate,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,8,0,38,0,0,0,0,0.1,0.1589,4.9,0.2381,21,0.56,0.6,1.82,38,32,0,6,0.8421,
1,3,9,32,136,3,1,9,1,32,1,25,13,13,50829,0,21,15,0,15,1,8,0,39,0,21,0,0,,,,,,,,,,,,,,
2,8,9,30,128,5,1,9,1,31,1,25,13,11,50841,0,39,15,1,15,1,8,0,40,2,37,0,0,,,,,,,,,,,,,,
3,13,9,36,156,5,0,9,1,35,2,25,12,22,50853,0,63,15,1,15,1,8,0,40,2,61,0,0,,,,,,,,,,,,,,
4,13,8,37,179,0,0,8,0,37,0,25,12,31,50855,0,98,15,1,15,1,8,0,40,3,95,0,0,,,,,,,,,,,,,,
5,29,10,37,167,16,4,10,4,40,5,25,11,12,50875,0,115,15,1,15,5,8,0,44,5,110,0,0,0.1,0.1589,4.66,0.3636,22,0.54,0.6,1.82,44,31,0,13,0.7045,
6,44,8,30,134,15,8,8,4,33,5,25,17,20,50879,0,141,15,6,15,8,8,0,52,13,128,0,0,,,,,,,,,,,,,,
7,51,8,34,164,7,1,8,2,37,3,25,14,15,50892,0,162,15,7,15,8,8,0,53,15,147,0,0,,,,,,,,,,,,,,
8,56,10,40,186,5,1,10,1,41,1,25,15,42,50903,0,191,15,7,15,9,8,0,54,15,176,0,0,,,,,,,,,,,,,,
9,60,7,20,86,4,1,7,1,24,1,25,10,23,50896,0,218,15,7,15,10,8,0,55,15,203,0,0,,,,,,,,,,,,,,
10,65,6,22,92,5,1,6,1,20,1,25,11,36,50880,0,256,15,7,15,11,8,0,56,15,241,0,0,0.12,0.1789,4.62,0.4091,22,0.54,0.58,1.82,56,36,0,20,0.6429,0.9048
