step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,8,0,38,0,0,0,0,
1,3,9,32,136,3,1,9,1,32,1,0,0,0,50850,0,0,15,0,15,1,8,0,39,0,0,0,0,
2,8,9,30,128,5,1,9,1,31,1,0,0,0,50880,0,0,15,1,15,1,8,0,40,0,0,0,0,
3,13,9,36,156,5,0,9,1,35,2,0,0,0,50916,0,0,15,1,15,1,8,0,40,0,0,0,0,
4,13,8,37,179,0,0,8,0,37,0,0,0,0,50953,0,0,15,1,15,1,8,0,40,0,0,0,0,
5,29,10,40,188,16,4,10,4,43,5,323,13,35,50957,0,36,15,1,15,5,8,0,44,13,23,0,0,
6,41,9,30,125,12,7,9,3,32,3,0,0,0,50987,0,36,15,6,15,7,8,0,51,13,23,0,0,
7,49,8,39,195,8,1,8,2,40,2,0,0,0,51026,0,36,15,7,15,7,8,0,52,13,23,0,0,
8,54,10,39,183,5,5,10,1,42,1,0,0,0,51065,0,36,15,12,15,7,8,0,57,13,23,0,0,
9,59,8,24,106,5,1,8,1,29,1,0,0,0,51089,0,36,15,12,15,8,8,0,58,13,23,0,0,
10,59,6,24,108,0,0,6,0,22,0,278,20,30,51077,0,72,15,12,15,8,8,0,58,33,39,0,0,0.9266
