step,cum_exposed,synth_units,new_triplets,new_edges,new_exposed,new_infected,n_contexts,n_contexts_contam,n_facts_served,n_contam_facts_served,audited,quarantined,cascaded,S,I,R,gt_seed_entity_disambiguation,gt_prop_entity_disambiguation,gt_seed_qualifier_loss,gt_prop_qualifier_loss,gt_seed_relation_strengthening,gt_prop_relation_strengthening,gt_total,det_R_contam,det_R_clean,det_I_contam,det_I_clean,detection_auroc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,50818,0,0,15,0,15,0,10,0,40,0,0,0,0,
1,11,9,38,170,11,3,9,3,39,3,0,0,0,50856,0,0,15,2,15,1,10,0,43,0,0,0,0,
2,16,9,28,116,5,1,9,1,28,1,122,8,16,50864,0,20,15,3,15,1,10,0,44,8,12,0,0,
3,16,8,32,150,0,0,8,0,34,0,0,0,0,50896,0,20,15,3,15,1,10,0,44,8,12,0,0,
4,25,9,41,191,9,2,9,2,38,3,145,5,33,50920,0,37,15,4,15,2,10,0,46,13,24,0,0,
5,25,12,43,187,0,0,12,0,45,0,0,0,0,50963,0,37,15,4,15,2,10,0,46,13,24,0,0,
6,25,8,32,148,0,0,8,0,36,0,150,0,0,50995,0,37,15,4,15,2,10,0,46,13,24,0,0,
7,27,11,35,141,2,1,11,1,39,1,0,0,0,51030,0,37,15,5,15,2,10,0,47,13,24,0,0,
8,29,10,26,104,2,0,10,1,32,2,124,2,8,51051,0,42,15,5,15,2,10,0,47,15,27,0,0,
9,34,7,29,141,5,0,7,1,34,1,0,0,0,51080,0,42,15,5,15,2,10,0,47,15,27,0,0,
10,34,6,22,102,0,0,6,0,25,0,110,1,5,51096,0,48,15,5,15,2,10,0,47,16,32,0,0,0.8956
